Cooldown,Executed_Turn,Action_ID,Name,Belonging_Sector_ID,Belonging_Sector,Priority,Importance,Repetivity,Cost,Initial Cost,NH3,NOx,N2O,Image,Image_F,Economy,Economy_F,GDP_F,Production,Production_F,Health,Health_F,Environment,Environment_F,N2000_F,Emissions,Emissions_F,Effect_IDs,Effects,Image_Ref,Description
3,0,12,Decrease Livestock Density,1,Agriculture (Sector),2022,False,Rotating,2000,0,----,,----,++++,0.3000011,,-0.4051399,-159.0977,----,-2071.846,,1.786756,,0.7479954,3.041826,----,0,[911nana912nana1139nana1323nana1324nana227nana],,livestock-intensity,Decrease animal density on farm lands.
3,0,13,Increase Livestock Density,1,Agriculture (Sector),2022,False,Permanent,0,0,++++,,++++,----,-0.3000011,,0.4053917,159.0898,++++,2071.844,,-1.785475,,-0.7479954,-3.041824,++++,0,[232nana233nana234nana916nana917nana919nana],,livestock-intensity,Increase animal density on farm lands.
3,0,14,Manure Processing,1,Agriculture (Sector),2025,False,ExecOnce,5000,0,----,+,----,++,0.1500006,,4.547474E-13,0,,0,,0.3872223,,0.2804947,1.140684,----,0,[921nana923nana926nana920nana922nana925nana240nana241nana242nana1147nana1148nana1149nana4004nana4020nana4021nana],,fertilizer,Manure processing will affect manure composting and therefore reduce ammonia emissions and nitrate leaching from land application.
3,0,15,Green Stables (National),1,Agriculture (Sector),2028,False,Rotating,2800,0,---,,+,+,0.03000069,,0.03201485,0,,0,,0.5534391,,0.2804947,1.140684,---,0,[933nana934nana935nana249nana250nana251nana252nana253nana254nana4022nana4023nana4024nana4025nana4026nana],,stables,Better floor design, cleaning and drainage can reduce stable emissions.
3,0,16,Cover Manure Storage,1,Agriculture (Sector),2022,False,ExecOnce,1300,0,-,,+,+,0.08000088,,4.547474E-13,0,,0,,0.2715321,,0.2804947,1.140684,-,0,[930nana931nana932nana261nana262nana263nana4020nana4021nana],,manure-storage,Cover manure storage piles to reduce ammonium emissions.
3,0,17,Low Emission Fertilizers,1,Agriculture (Sector),2022,False,ExecOnce,3000,0,----,+,++,++,0.1000004,,0.04742241,0,,0,,0.1209917,,0.09349823,0.380228,----,0,[1144nana1145nana1146nana270nana271nana1140nana1141nana1143nana4019nana],,fertilizer,Apply manure using techniques that inject manure in the soil.
3,0,18,Precision Fertilisation,1,Agriculture (Sector),2025,False,ExecOnce,2500,0,--,-,--,,0,,0.01776695,0,,0,,0.1198473,,0.09349823,0.380228,--,0,[281nana282nana283nana4019nana],,fertilizer,Apply the optimium amount of manure at the right time and place.
3,0,19,Optimal Irrigation,1,Agriculture (Sector),2022,False,ExecOnce,1400,0,-,,-,,0,,0.01539803,0,,0,,0.0006198883,,4.547474E-13,0,-,0,[286nana287nana],,water,Adjust irrigation to optimize nitrogen uptake by crops.
3,0,20,Optimal Drainage,1,Agriculture (Sector),2025,False,ExecOnce,3300,0,-,,-,,0,,4.547474E-13,0,,0,,0,,4.547474E-13,0,-,0,[980nana981nana987nana988nana989nana],,water,Improve soil drainage by modified tillage and installation of field tiles.
3,0,21,Increase Grazing Time,1,Agriculture (Sector),2025,False,Rotating,30,0,-,,+,++,0.1499996,,-0.01388931,0,,0,,1.091756,,0.6544895,2.661596,-,0,[292nana293nana294nana4042nana4043nana4044nana4045nana4046nana],,livestock-intensity,Let cattle graze more frequently. Decrease in ammonia emissions per hour of grazing is determined to be 2.61%.
